verb,count,noun,count,adj,count,adv,count
unterhalten,183.0,Gruppe,248,euer,31.0,blind,85.0
besprechen,183.0,Flug,248,verboten,31.0,gegenseitig,84.0
besorgen,183.0,Gefallen,248,tapfer,31.0,aufregend,84.0
kennenlernen,182.0,Entschuldige,248,extrem,31.0,gibst,84.0
studieren,182.0,Essen,247,langweilig,31.0,nahe,83.0
explodieren,182.0,Meer,247,pur,31.0,weiterhin,83.0
brauchst,181.0,Angel,246,grausam,30.0,3.,82.0
rauchen,181.0,Wille,245,kaputt,30.0,extra,82.0
verbrennen,181.0,Video,245,erbärmlich,30.0,zurecht,81.0
antun,180.0,Dude,245,elektronisch,30.0,billig,81.0
lhnen,180.0,Unsinn,244,Gütiger,30.0,erfolgreich,81.0
fliehen,178.0,Schicksal,244,-Das,30.0,streng,80.0
vergeben,177.0,Folge,242,kÉein,30.0,Komisch,79.0
hinterlassen,176.0,Pfund,239,hell,30.0,Denk,79.0
hauen,176.0,-Das,239,hat's,30.0,reizend,79.0
Kennen,175.0,Lage,237,überzeugend,30.0,bequem,79.0
aktivieren,175.0,Freude,237,maximal,30.0,äußerst,78.0
siehen,174.0,Lieutenant,236,ziemlich,29.0,lebend,78.0
herkommen,174.0,Drink,235,primitiv,29.0,Wartet,78.0
Versteh,174.0,Dienst,235,so'n,29.0,praktisch,78.0
akzeptieren,174.0,Monsieur,235,außergewöhnlich,29.0,merkwürdig,78.0
leiten,173.0,Hose,234,männlich,29.0,treu,78.0
meinsen,173.0,Lust,233,restlich,29.0,herrlich,78.0
wechseln,172.0,Priester,232,-Der,29.0,ebenfalls,77.0
abschließen,169.0,Zweifel,231,genial,29.0,mutig,77.0
Redest,169.0,Ernst,231,bloß,29.0,ausgerechnet,77.0
zurückkommen,168.0,war's,231,griechisch,29.0,berühmt,77.0
Bring,167.0,Stern,231,verfickt,29.0,gleichzeitig,77.0
Halten,165.0,Ei,230,jüdisch,29.0,negativ,77.0
weissen,165.0,Pflicht,230,holer,28.0,täglich,76.0
unterschreiben,165.0,Katze,230,japanisch,28.0,unheimlich,76.0
anziehen,165.0,Bank,229,übl,28.0,1.,75.0
heben,164.0,Besuch,229,8.,28.0,bestens,75.0
richten,164.0,Situation,229,wundervoller,28.0,neugierig,74.0
stürzen,164.0,Position,229,Letztes,28.0,definitiv,74.0
wiederholen,163.0,Lüge,228,verheiratet,28.0,locker,74.0
verwandeln,163.0,Aussage,228,albern,28.0,brav,73.0
klauen,163.0,Tee,227,himmlisch,28.0,nützlich,73.0
lauten,161.0,Szene,225,bitte,28.0,öfter,73.0
aufpassen,159.0,Ecke,225,laufend,28.0,ungewöhnlich,73.0
kochen,158.0,Berg,224,geistig,28.0,pünktlich,72.0
anbieten,158.0,Schuh,224,global,28.0,sicherlich,72.0
bereiten,157.0,weiße,224,kostbar,27.0,Langsam,72.0
wehtun,157.0,Beziehung,224,jetzig,27.0,eindeutig,72.0
entlassen,157.0,Wunsch,223,ideal,27.0,sinnlos,71.0
einstellen,157.0,Gewehr,223,zusätzlich,27.0,attraktiv,71.0
gewöhnen,156.0,Zahn,222,Braves,27.0,dicht,71.0
vernichten,156.0,Schauspieler,222,arrogant,27.0,hiermit,70.0
mitkommen,155.0,Mädel,222,blond,27.0,unglücklich,70.0
Rufen,155.0,Boot,222,moralisch,27.0,drum,70.0
schmecken,155.0,Fahr,221,zart,27.0,kompliziert,70.0
bestellen,154.0,Mut,221,mexikanisch,27.0,fantastisch,70.0
kontrollieren,154.0,Geburtstag,220,hinterer,27.0,verwirrt,70.0
stinken,153.0,Hoffnung,220,endlos,27.0,fähig,69.0
versagen,153.0,Hals,220,Böser,26.0,angenehm,69.0
hol,152.0,Éch,220,Letzt,26.0,offiziell,69.0
bekommsen,152.0,Aufgabe,218,künstlich,26.0,hervorragend,69.0
liefern,152.0,Grenze,218,ständig,26.0,schwul,69.0
enttäuschen,152.0,Show,218,bewaffnet,26.0,blau,68.0
nähern,151.0,Thema,217,lustig,26.0,einst,68.0
Lasst,150.0,Tante,216,eigentlich,26.0,feige,67.0
tu,149.0,Gegend,215,physisch,26.0,entfernen,67.0
waschen,149.0,Held,214,elegant,26.0,stets,67.0
klären,148.0,Weile,213,finanziell,26.0,nebenan,66.0
bestrafen,148.0,Wind,213,uralt,26.0,logisch,66.0
verhindern,148.0,Polizist,213,brillant,26.0,extrem,66.0
aussteigen,148.0,Energie,213,niedrig,26.0,just,66.0
ertragen,147.0,Gespräch,212,Beruhiger,26.0,einig,65.0
riskieren,147.0,Wald,212,cardassianisch,26.0,großzügig,65.0
umgehen,147.0,Gebäude,211,Grün,26.0,heran,65.0
anhören,147.0,Regierung,210,besseres,25.0,mächtig,64.0
schneiden,147.0,Knast,210,angeblich,25.0,doppelt,64.0
antworten,146.0,Verbrechen,209,seelisch,25.0,Vorsichtig,64.0
wecken,145.0,Unterschied,209,spät,25.0,erneut,64.0
klopfen,145.0,Fürst,207,brennend,25.0,reicht's,64.0
könntest,144.0,Charlie,206,krumm,25.0,lebst,64.0
geraten,144.0,Vergangenheit,206,romulanisch,25.0,verzweifelt,64.0
begehen,144.0,Droge,206,typisch,24.0,live,64.0
sammeln,144.0,Achtung,205,italienisch,24.0,innen,63.0
atmen,144.0,Mulder,204,aktiv,24.0,gefälligst,63.0
rauskommen,144.0,Respekt,203,grob,24.0,herzlich,63.0
komm,143.0,Blick,203,übel,24.0,Ruhig,63.0
einsetzen,143.0,Papier,203,wütend,24.0,höchstens,63.0
reagieren,143.0,Reihe,203,lächerlich,24.0,wurdest,63.0
gucken,143.0,Schild,203,logisch,24.0,wieviel,63.0
ruinieren,142.0,Theater,203,sozial,24.0,D'Artagnan,63.0
beantworten,142.0,Signal,202,6.,24.0,Ah,62.0
genießen,141.0,Verstanden,202,telepathisch,24.0,Rüber,62.0
wärst,140.0,gefangener,202,für'n,24.0,unangenehm,62.0
möchtesen,140.0,Annie,202,mittlerer,23.0,Bereit,62.0
lässt,140.0,Streit,201,flott,23.0,versprich,62.0
entfernen,140.0,Kino,201,entzückend,23.0,Hab,62.0
sieh,140.0,Stein,200,blutig,23.0,lügst,61.0
verteidigen,140.0,Weise,200,kriminell,23.0,nutzlos,61.0
informieren,140.0,Güte,200,passend,23.0,nirgendwo,61.0
abgeben,139.0,Vampire,200,Gewisse,23.0,liebst,60.0
empfangen,138.0,Rücken,199,positiv,23.0,grausam,60.0
zulassen,138.0,Bar,198,24.,23.0,bewaffnet,60.0
kapieren,138.0,Kirche,198,-Ein,23.0,glatt,59.0
stoßen,137.0,alte,198,stolz,23.0,4.,59.0
aufmachen,137.0,Verstand,197,radioaktiv,23.0,Interessant,59.0
angehen,137.0,Programm,197,intelligent,23.0,super,59.0
hingehen,137.0,Vorstellung,196,verdorben,23.0,daheim,58.0
betreffen,137.0,Crew,196,feucht,23.0,breit,58.0
vermuten,136.0,Arschloch,195,wertlos,23.0,umso,58.0
schaden,136.0,Unfall,193,Braver,23.0,siehst,57.0
hattesen,136.0,Zeit,192,grösst,23.0,heilig,57.0
Sag,136.0,bisschen,192,Schweizer,22.0,einzig,57.0
stoppen,136.0,Flasche,192,streng,22.0,erstaunlich,57.0
weitergehen,135.0,Wand,192,teuflisch,22.0,unfair,57.0
verursachen,135.0,Untertitel,191,geplant,22.0,gemütlich,56.0
probieren,135.0,Adresse,191,ganz,22.0,sozusagen,56.0
malen,135.0,Frost,191,klingend,22.0,weich,56.0
versetzen,135.0,Sendung,191,glühend,22.0,bleib,56.0
